elo_diff,winrate_30d_diff,form_diff,h2h_winrate_a,ranking_diff,map_winrate_diff,days_since_last_diff,lineup_age_diff,team_a_won,date,team_a,team_b,winner,event
-1.5015724585543921,0.0,0.0,0.5,0.015015724585543922,0.0,2,-1,0,2024-05-18 11:00:00+00:00,MOUZ,HEROIC,team1,BetBoom Dacha Belgrade 2024
16.033908130169266,0.0,0.5,0.5,-0.16033908130169267,0.0,12,-2,0,2024-05-18 11:10:00+00:00,SINNERS,1win,team2,CCT Season 2 Europe Series 3
-16.77177298456877,0.0,0.0,0.5,0.1677177298456877,0.0,0,0,0,2024-05-18 13:00:00+00:00,B8,Sashi,team1,Elisa Invitational Spring 2024
0.0,0.0,0.0,0.5,0.0,0.0,0,0,0,2024-05-18 13:20:00+00:00,paiN,AMKAL,team2,CCT Global Finals 2024
-30.782837528379332,0.0,0.5,0.5,0.3078283752837933,0.0,13,-2,0,2024-05-18 14:00:00+00:00,Galorys,ODDIK,team2,EPL World Series Americas Season 8
0.0,0.0,0.0,0.5,0.0,0.0,1,1,0,2024-05-18 14:00:00+00:00,Metizport,Ninjas in Pyjamas,team1,RES Regional Series 4 Europe
-44.5913489943548,-0.5,0.0,0.5,0.445913489943548,-0.5,0,-1,0,2024-05-18 14:00:00+00:00,9z,Fluxo,team1,CBCS Season 4
0.0,0.0,0.0,0.5,0.0,0.0,0,0,0,2024-05-18 15:50:00+00:00,Liquid,OG,team1,CCT Global Finals 2024
-63.367217788665585,0.5,0.0,0.5,0.6336721778866559,0.5,2,-1,0,2024-05-18 17:00:00+00:00,RED Canids,ODDIK,team1,CBCS Season 4
-32.0,0.0,0.0,0.5,0.32,0.0,0,0,0,2024-05-19 05:30:00+00:00,paiN,OG,team1,CCT Global Finals 2024
-32.69498820767717,0.0,0.0,0.5,0.3269498820767717,0.0,-1,-1,0,2024-05-19 08:00:00+00:00,B8,Zero Tenacity,team2,RES Regional Series 4 Europe
32.0,0.0,0.0,0.5,-0.32,0.0,0,0,0,2024-05-19 09:00:00+00:00,AMKAL,Liquid,team2,CCT Global Finals 2024
-14.599648007668748,0.0,0.0,0.5,0.14599648007668747,0.0,1,1,0,2024-05-19 09:00:00+00:00,Spirit,MOUZ,team2,BetBoom Dacha Belgrade 2024
-29.06099694204886,0.0,0.0,0.0,0.2906099694204886,0.0,0,0,0,2024-05-19 11:30:00+00:00,paiN,AMKAL,team2,CCT Global Finals 2024
16.00000368355427,0.0,0.0,0.0,-0.16000003683554267,0.0,-2,0,0,2024-05-19 11:30:00+00:00,Sashi,Passion UA,team1,RES Regional Series 4 Europe
3.695035449323541,-0.5,0.0,0.0,-0.03695035449323541,-0.5,1,0,0,2024-05-19 14:00:00+00:00,9z,RED Canids,team2,CBCS Season 4
32.0,0.0,0.0,0.0,-0.32,0.0,0,0,0,2024-05-19 14:25:00+00:00,Sangal,Ninjas in Pyjamas,team1,RES Regional Series 4 Europe
0.0,0.0,0.0,0.5,0.0,0.0,0,0,0,2024-05-19 14:30:00+00:00,Astralis,BIG,team1,CCT Global Finals 2024
-1.4695015289755702,0.0,0.0,0.5,0.014695015289755703,0.0,-1,-2,0,2024-05-19 18:00:00+00:00,M80,BOSS,team1,ESL Challenger League Season 47 North America
33.334156243458665,0.0,0.0,0.0,-0.3333415624345866,0.0,0,2,0,2024-05-19 18:55:00+00:00,BOSS,M80,team2,ESL Challenger League Season 47 North America
-29.79271630363928,0.0,0.0,0.0,0.29792716303639283,0.0,1,-1,0,2024-05-20 05:00:00+00:00,Monte,Sashi,team1,RES Regional Series 4 Europe
63.20089471397023,0.0,0.0,0.5,-0.6320089471397022,0.0,-2,0,0,2024-05-20 05:00:00+00:00,MIBR,BetBoom,team2,CCT Global Finals 2024
-2.17373788494956,0.0,0.0,0.5,0.0217373788494956,0.0,-1,-1,0,2024-05-20 08:10:00+00:00,SINNERS,VP.Prodigy,team1,CCT Season 2 Europe Series 4
46.5317603111846,0.0,0.0,0.5,-0.465317603111846,0.0,2,1,0,2024-05-20 08:30:00+00:00,PARIVISION,Sangal,team2,RES Regional Series 4 Europe
-12.322069645058036,0.0,0.0,0.5,0.12322069645058037,0.0,0,-4,0,2024-05-20 08:30:00+00:00,BIG,MIBR,team2,CCT Global Finals 2024
-14.463306420231447,-0.5,0.0,0.5,0.14463306420231448,-0.5,-3,0,0,2024-05-20 09:15:00+00:00,B8,EYEBALLERS,team1,CCT Season 2 Europe Series 3
-18.878825068912192,0.0,0.0,0.5,0.18878825068912192,0.0,0,-4,0,2024-05-20 12:10:00+00:00,Astralis,BetBoom,team1,CCT Global Finals 2024
-47.22921964289344,0.5,0.0,0.5,0.4722921964289344,0.5,1,-1,0,2024-05-20 14:15:00+00:00,Metizport,Zero Tenacity,team2,RES Regional Series 4 Europe
