match_id,date,team_a,team_b,event,tournament,match_type,status,stream_url,source
ps_1489308,2026-05-29 17:00:00,TBD,TBD,CCT Europe,Series 2 2026,best_of,not_started,https://kick.com/cct_cs2,pandascore
ps_1479976,2026-05-29 17:30:00,TBD,TBD,Stake Ranked,Episode 2 2026,best_of,not_started,https://kick.com/starladder,pandascore
ps_1508614,2026-05-29 20:00:00,TBD,TBD,Circuit X Base Recife,2026,best_of,not_started,https://www.twitch.tv/circuitxofficial,pandascore
ps_1497673,2026-05-30 08:00:00,TBD,TBD,BC Game Masters,Europe Series #2 season 2 2026,best_of,not_started,https://www.twitch.tv/bcgamemasters,pandascore
ps_1501218,2026-05-30 08:00:00,TBD,TBD,Thunderpick World Championship,European Series #1 2026,best_of,not_started,https://www.twitch.tv/thunderpicktv,pandascore
ps_1504720,2026-05-30 08:00:00,TBD,TBD,CCT Europe,Series 3 2026,best_of,not_started,https://kick.com/cct_cs,pandascore
ps_1504690,2026-05-30 08:00:00,TBD,TBD,European Pro League,Series 7 Closed Qualifier 2026,best_of,not_started,https://kick.com/eplcs_en,pandascore
ps_1489309,2026-05-30 10:00:00,TBD,TBD,CCT Europe,Series 2 2026,best_of,not_started,https://kick.com/cct_cs2,pandascore
ps_1504691,2026-05-30 10:30:00,TBD,TBD,European Pro League,Series 7 Closed Qualifier 2026,best_of,not_started,https://kick.com/eplcs_en,pandascore
ps_1497674,2026-05-30 11:00:00,TBD,TBD,BC Game Masters,Europe Series #2 season 2 2026,best_of,not_started,https://www.twitch.tv/bcgamemasters,pandascore
ps_1504721,2026-05-30 11:00:00,TBD,TBD,CCT Europe,Series 3 2026,best_of,not_started,https://kick.com/cct_cs,pandascore
ps_1501219,2026-05-30 11:00:00,TBD,TBD,Thunderpick World Championship,European Series #1 2026,best_of,not_started,https://www.twitch.tv/thunderpicktv,pandascore
ps_1504025,2026-05-30 11:00:00,TBD,TBD,CCT Europe,Challengers Series season 3 2026,best_of,not_started,https://kick.com/CCT_CS6,pandascore
ps_1479975,2026-05-30 13:00:00,TBD,TBD,Stake Ranked,Episode 2 2026,best_of,not_started,https://kick.com/starladder,pandascore
ps_1489310,2026-05-30 13:00:00,TBD,TBD,CCT Europe,Series 2 2026,best_of,not_started,https://kick.com/cct_cs2,pandascore
