match_id,date,team_a,team_b,score_a,score_b,winner,event,maps
hltv_match_2373572,2024-07-19 11:00:00+00:00,CYBERSHOKE,fnatic,,,team2,RES Regional Series 6 Europe,0
hltv_match_2373284,2024-07-19 11:55:00+00:00,MOUZ,FURIA,,,team1,Esports World Cup 2024,0
hltv_match_2373832,2024-07-19 15:30:00+00:00,paiN,Fluxo,,,team1,Ace South American Masters Fall 2024 - BLAST Premier Qualifier,0
hltv_match_2373283,2024-07-19 15:50:00+00:00,Natus Vincere,FaZe,,,team1,Esports World Cup 2024,0
hltv_match_2373764,2024-07-19 17:00:00+00:00,BESTIA,KRÜ,,,team1,Thunderpick World Championship 2024 SA Closed Qualifier 2,0
hltv_match_2373841,2024-07-19 19:00:00+00:00,Bounty Hunters,9z Academy,,,team1,CCT Season 2 South America Series 2,0
hltv_match_2373294,2024-07-20 05:00:00+00:00,Passion UA,RUBY,,,team1,CCT Season 2 Europe Series 6,0
hltv_match_2373574,2024-07-20 05:00:00+00:00,Sangal,fnatic,,,team2,RES Regional Series 6 Europe,0
hltv_match_2373447,2024-07-20 07:05:00+00:00,Insilio,UNiTY,,,team1,European Pro League Season 17,0
hltv_match_2373287,2024-07-20 10:45:00+00:00,G2,Virtus.pro,,,team1,Esports World Cup 2024,0
hltv_match_2373765,2024-07-20 11:00:00+00:00,paiN,Bounty Hunters,,,team1,Thunderpick World Championship 2024 SA Closed Qualifier 2,0
hltv_match_2373576,2024-07-20 11:00:00+00:00,Ninjas in Pyjamas,Passion UA,,,team2,RES Regional Series 6 Europe,0
hltv_match_2373835,2024-07-20 12:00:00+00:00,ODDIK,Fluxo,,,team2,Ace South American Masters Fall 2024 - BLAST Premier Qualifier,0
hltv_match_2373537,2024-07-20 13:00:00+00:00,Nexus,Johnny Speeds,,,team2,Shuffle Masters Season 1,0
hltv_match_2373288,2024-07-20 14:00:00+00:00,MOUZ,Natus Vincere,,,team2,Esports World Cup 2024,0
hltv_match_2373577,2024-07-20 14:00:00+00:00,Zero Tenacity,B8,,,team1,RES Regional Series 6 Europe,0
hltv_match_2373297,2024-07-20 14:15:00+00:00,Aurora Young Blud,BC.Game,,,team1,CCT Season 2 Europe Series 6,0
hltv_match_2373836,2024-07-20 14:30:00+00:00,Imperial,paiN,,,team2,Ace South American Masters Fall 2024 - BLAST Premier Qualifier,0
hltv_match_2373767,2024-07-20 17:00:00+00:00,Fluxo,Sharks,,,team1,Thunderpick World Championship 2024 SA Closed Qualifier 2,0
hltv_match_2373846,2024-07-20 18:00:00+00:00,BOSS,NRG,,,team2,PrizePicks NA Revival Series 1,0
hltv_match_2373578,2024-07-21 08:00:00+00:00,fnatic,MOUZ NXT,,,team1,RES Regional Series 6 Europe,0
hltv_match_2373579,2024-07-21 11:00:00+00:00,Zero Tenacity,Passion UA,,,team2,RES Regional Series 6 Europe,0
hltv_match_2373837,2024-07-21 12:00:00+00:00,Fluxo,paiN,,,team2,Ace South American Masters Fall 2024 - BLAST Premier Qualifier,0
hltv_match_2373768,2024-07-21 13:00:00+00:00,RED Canids,BESTIA,,,team2,Thunderpick World Championship 2024 SA Closed Qualifier 2,0
hltv_match_2373855,2024-07-21 14:00:00+00:00,Dusty Roots,9z Academy,,,team1,CCT Season 2 South America Series 2,0
hltv_match_2373289,2024-07-21 14:00:00+00:00,G2,Natus Vincere,,,team2,Esports World Cup 2024,0
hltv_match_2373769,2024-07-21 16:00:00+00:00,paiN,Fluxo,,,team2,Thunderpick World Championship 2024 SA Closed Qualifier 2,0
hltv_match_2373856,2024-07-21 17:00:00+00:00,Galorys,Yawara,,,team1,CCT Season 2 South America Series 2,0
hltv_match_2373852,2024-07-21 21:20:00+00:00,NRG,Wildcard,,,team2,PrizePicks NA Revival Series 1,0
hltv_match_2373451,2024-07-22 06:30:00+00:00,Rebels,Insilio,,,team1,European Pro League Season 17,0
hltv_match_2373301,2024-07-22 07:00:00+00:00,Passion UA,BC.Game,,,team1,CCT Season 2 Europe Series 6,0
hltv_match_2373302,2024-07-22 09:30:00+00:00,SINNERS,CPH Wolves,,,team1,CCT Season 2 Europe Series 6,0
hltv_match_2373580,2024-07-22 11:00:00+00:00,fnatic,Passion UA,,,team1,RES Regional Series 6 Europe,0
hltv_match_2373864,2024-07-22 12:00:00+00:00,RED Canids,paiN Academy,,,team1,Circuito Estadual FERJEE 2024,0
hltv_match_2373770,2024-07-22 14:00:00+00:00,BESTIA,Fluxo,,,team1,Thunderpick World Championship 2024 SA Closed Qualifier 2,0
hltv_match_2373453,2024-07-23 06:30:00+00:00,Passion UA,9INE,,,team1,European Pro League Season 17,0
hltv_match_2373304,2024-07-23 06:30:00+00:00,Metizport,RUBY,,,team2,CCT Season 2 Europe Series 6,0
